epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.23126,0.6193,0.23716,0.5565,0.5172,9.961e-05
2,0.09629,0.8435,0.1358,0.7561,0.7405,9.844e-05
3,0.06437,0.8951,0.17124,0.7916,0.7747,9.652e-05
4,0.05118,0.9154,0.13223,0.8226,0.8112,9.388e-05
5,0.03904,0.9282,0.11791,0.8004,0.7812,9.055e-05
6,0.03346,0.9397,0.144,0.8426,0.8262,8.658e-05
7,0.02612,0.9493,0.08339,0.8803,0.8631,8.205e-05
8,0.02374,0.9546,0.11121,0.8758,0.8608,7.702e-05
9,0.02369,0.9536,0.11046,0.8692,0.8556,7.158e-05
10,0.01996,0.9591,0.09201,0.8847,0.8669,6.58e-05
11,0.01526,0.9641,0.09745,0.8581,0.8517,5.978e-05
12,0.0138,0.968,0.10579,0.867,0.855,5.361e-05
13,0.01391,0.9693,0.0858,0.898,0.8821,4.739e-05
14,0.01168,0.9701,0.09895,0.8936,0.8792,4.122e-05
15,0.01009,0.9739,0.10033,0.898,0.8811,3.52e-05
16,0.00889,0.975,0.09042,0.9024,0.8859,2.942e-05
17,0.01003,0.9764,0.093,0.8825,0.8663,2.398e-05
18,0.00734,0.9765,0.09468,0.8958,0.8752,1.895e-05
19,0.00656,0.9802,0.1019,0.898,0.8801,1.442e-05
20,0.00637,0.9809,0.10827,0.8936,0.8724,1.045e-05
21,0.00579,0.9801,0.11663,0.8936,0.8699,7.12e-06
22,0.0052,0.98,0.11342,0.8891,0.8713,4.48e-06
23,0.00719,0.9802,0.10904,0.8958,0.876,2.56e-06
24,0.00523,0.9812,0.11629,0.8958,0.8745,1.39e-06
25,0.00804,0.9791,0.1058,0.9024,0.8864,1e-06
