epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.48161,0.4303,0.32397,0.6499,0.6251,9.961e-05
2,0.30243,0.6217,0.22494,0.6911,0.6593,9.844e-05
3,0.22287,0.7052,0.16297,0.7941,0.7867,9.652e-05
4,0.18094,0.7629,0.12393,0.8146,0.8072,9.388e-05
5,0.14328,0.802,0.12173,0.8352,0.8213,9.055e-05
6,0.12615,0.82,0.09914,0.8627,0.853,8.658e-05
7,0.1163,0.8307,0.08843,0.8719,0.8631,8.205e-05
8,0.09443,0.8465,0.08894,0.881,0.8684,7.702e-05
9,0.09764,0.8531,0.09249,0.8696,0.8531,7.158e-05
10,0.08954,0.8607,0.08848,0.8947,0.8873,6.58e-05
11,0.07977,0.8815,0.08197,0.8924,0.889,5.978e-05
12,0.07987,0.8805,0.09538,0.8947,0.8847,5.361e-05
13,0.06653,0.8909,0.0846,0.8993,0.8945,4.739e-05
14,0.06537,0.884,0.08224,0.9062,0.8998,4.122e-05
15,0.06719,0.8941,0.08931,0.8924,0.8889,3.52e-05
16,0.05578,0.8997,0.08089,0.8993,0.8936,2.942e-05
17,0.05682,0.9016,0.08685,0.9039,0.8978,2.398e-05
18,0.05102,0.9092,0.09119,0.8947,0.8879,1.895e-05
19,0.04644,0.9127,0.08314,0.9016,0.8944,1.442e-05
20,0.04922,0.9114,0.07934,0.9039,0.8984,1.045e-05
21,0.04799,0.9161,0.08398,0.9039,0.9003,7.12e-06
22,0.04981,0.9086,0.08229,0.8993,0.8939,4.48e-06
23,0.04748,0.9142,0.08057,0.9108,0.9063,2.56e-06
24,0.04566,0.9142,0.07689,0.9108,0.9053,1.39e-06
25,0.04313,0.9253,0.08652,0.9062,0.9032,1e-06
