epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.44705,0.3522,0.28106,0.557,0.5284,9.961e-05
2,0.3008,0.5404,0.18454,0.6667,0.6469,9.844e-05
3,0.21828,0.651,0.14029,0.7651,0.7511,9.652e-05
4,0.17658,0.7258,0.11781,0.8054,0.7912,9.388e-05
5,0.1409,0.7781,0.11267,0.8233,0.8119,9.055e-05
6,0.11424,0.794,0.11225,0.8389,0.8243,8.658e-05
7,0.11153,0.8094,0.09864,0.868,0.8541,8.205e-05
8,0.09527,0.815,0.08938,0.8412,0.8224,7.702e-05
9,0.09403,0.8245,0.09455,0.8389,0.8232,7.158e-05
10,0.08104,0.8356,0.10789,0.8568,0.834,6.58e-05
11,0.07151,0.8597,0.09159,0.8523,0.8348,5.978e-05
12,0.0689,0.8697,0.0811,0.8479,0.8321,5.361e-05
13,0.06269,0.8697,0.09348,0.8523,0.8347,4.739e-05
14,0.05997,0.8732,0.07998,0.8658,0.8484,4.122e-05
15,0.05872,0.874,0.08331,0.8635,0.8439,3.52e-05
16,0.05016,0.8788,0.08685,0.8546,0.8417,2.942e-05
17,0.05345,0.8724,0.08395,0.8568,0.8399,2.398e-05
18,0.04646,0.8914,0.08264,0.8546,0.8359,1.895e-05
19,0.04833,0.8831,0.08693,0.8725,0.8529,1.442e-05
20,0.04418,0.8891,0.0886,0.8702,0.8513,1.045e-05
21,0.04586,0.8867,0.08115,0.8568,0.8408,7.12e-06
22,0.04588,0.895,0.07854,0.8635,0.8474,4.48e-06
23,0.03729,0.9017,0.08022,0.8546,0.8363,2.56e-06
24,0.04709,0.891,0.08038,0.8613,0.8439,1.39e-06
25,0.04701,0.8895,0.08044,0.8658,0.8451,1e-06
