epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.41058,0.4954,0.3677,0.5727,0.5323,9.961e-05
2,0.22799,0.6793,0.2251,0.6935,0.6513,9.844e-05
3,0.16497,0.7813,0.1506,0.8009,0.7952,9.652e-05
4,0.12831,0.8243,0.08681,0.8345,0.8361,9.388e-05
5,0.1096,0.8412,0.08521,0.8591,0.8567,9.055e-05
6,0.09627,0.8555,0.06455,0.8613,0.8646,8.658e-05
7,0.08091,0.874,0.05423,0.8881,0.8884,8.205e-05
8,0.07636,0.881,0.05239,0.8949,0.8931,7.702e-05
9,0.06662,0.8933,0.05579,0.8725,0.8642,7.158e-05
10,0.05911,0.8938,0.0547,0.8613,0.8595,6.58e-05
11,0.05767,0.9039,0.05488,0.906,0.9037,5.978e-05
12,0.04856,0.9107,0.06174,0.8993,0.8987,5.361e-05
13,0.05074,0.9156,0.04336,0.9016,0.8981,4.739e-05
14,0.04531,0.9216,0.0599,0.9038,0.9019,4.122e-05
15,0.03983,0.9193,0.049,0.8971,0.8975,3.52e-05
16,0.03859,0.9297,0.06429,0.8926,0.8917,2.942e-05
17,0.03424,0.9279,0.05116,0.9083,0.9115,2.398e-05
18,0.03312,0.9323,0.04584,0.9016,0.9081,1.895e-05
19,0.03438,0.9344,0.05659,0.9016,0.9043,1.442e-05
20,0.03089,0.9391,0.06576,0.906,0.9062,1.045e-05
21,0.03077,0.9383,0.0698,0.8993,0.8984,7.12e-06
22,0.03059,0.93,0.06274,0.9016,0.9039,4.48e-06
23,0.02728,0.9328,0.05468,0.8971,0.8977,2.56e-06
24,0.0296,0.9388,0.05816,0.8993,0.8972,1.39e-06
25,0.02799,0.9401,0.05016,0.8971,0.8989,1e-06
