epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.42718,0.3545,0.33082,0.4843,0.4872,9.961e-05
2,0.27922,0.5572,0.20056,0.7018,0.7117,9.844e-05
3,0.20648,0.655,0.15517,0.7892,0.7941,9.652e-05
4,0.16088,0.7295,0.13099,0.8229,0.8268,9.388e-05
5,0.13299,0.7881,0.10209,0.8184,0.8169,9.055e-05
6,0.11789,0.7877,0.09306,0.8453,0.8431,8.658e-05
7,0.10698,0.8095,0.08751,0.8587,0.8547,8.205e-05
8,0.09944,0.815,0.08477,0.8498,0.8481,7.702e-05
9,0.086,0.8404,0.09436,0.8655,0.8646,7.158e-05
10,0.08503,0.836,0.08924,0.8475,0.8491,6.58e-05
11,0.08055,0.8463,0.09109,0.861,0.8604,5.978e-05
12,0.07513,0.8606,0.08212,0.8632,0.8628,5.361e-05
13,0.06783,0.8594,0.08131,0.8565,0.857,4.739e-05
14,0.05765,0.8832,0.08191,0.861,0.8615,4.122e-05
15,0.06382,0.8729,0.0758,0.87,0.8701,3.52e-05
16,0.05384,0.8848,0.07488,0.8677,0.8669,2.942e-05
17,0.05589,0.8836,0.07813,0.8722,0.8714,2.398e-05
18,0.05935,0.8836,0.07492,0.8722,0.8719,1.895e-05
19,0.05305,0.8812,0.08078,0.87,0.8647,1.442e-05
20,0.04904,0.8844,0.07707,0.8677,0.8634,1.045e-05
21,0.04723,0.8871,0.08004,0.8632,0.8557,7.12e-06
22,0.04497,0.9006,0.07858,0.8722,0.8704,4.48e-06
23,0.04322,0.9014,0.07631,0.8744,0.8727,2.56e-06
24,0.04639,0.8947,0.0774,0.8744,0.8715,1.39e-06
25,0.05157,0.882,0.07645,0.8744,0.8727,1e-06
