epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.42973,0.5347,0.31606,0.6918,0.6586,9.961e-05
2,0.22324,0.7466,0.19781,0.7805,0.7643,9.844e-05
3,0.15646,0.8348,0.19384,0.765,0.7438,9.652e-05
4,0.11264,0.8771,0.13066,0.8381,0.8221,9.388e-05
5,0.10205,0.886,0.13398,0.8492,0.8342,9.055e-05
6,0.08132,0.9089,0.1209,0.8603,0.8462,8.658e-05
7,0.07576,0.9029,0.10714,0.8914,0.8741,8.205e-05
8,0.06509,0.9213,0.11666,0.8692,0.8481,7.702e-05
9,0.05646,0.9312,0.11265,0.8825,0.8657,7.158e-05
10,0.05024,0.9337,0.10881,0.8891,0.8704,6.58e-05
11,0.04536,0.9447,0.10594,0.8936,0.8822,5.978e-05
12,0.04053,0.9447,0.1113,0.9024,0.8857,5.361e-05
13,0.03581,0.9506,0.11674,0.8958,0.8764,4.739e-05
14,0.03324,0.9529,0.11039,0.8914,0.8758,4.122e-05
15,0.03103,0.9572,0.09898,0.9047,0.8876,3.52e-05
16,0.02694,0.9573,0.11155,0.9002,0.8804,2.942e-05
17,0.02772,0.9579,0.11571,0.9024,0.8836,2.398e-05
18,0.03022,0.9612,0.11026,0.9002,0.8844,1.895e-05
19,0.02325,0.9678,0.11817,0.898,0.8759,1.442e-05
20,0.02327,0.9641,0.11632,0.898,0.8788,1.045e-05
21,0.02281,0.9653,0.11719,0.9002,0.8793,7.12e-06
22,0.02276,0.9647,0.11484,0.898,0.8802,4.48e-06
23,0.01898,0.9684,0.11361,0.9002,0.8832,2.56e-06
24,0.0198,0.9699,0.11355,0.8958,0.8771,1.39e-06
25,0.02103,0.9672,0.113,0.9047,0.8843,1e-06
