epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.44078,0.5293,0.32407,0.6743,0.6392,9.961e-05
2,0.23076,0.7348,0.20036,0.8064,0.7831,9.844e-05
3,0.16805,0.8216,0.17881,0.8269,0.8106,9.652e-05
4,0.12564,0.8607,0.16958,0.8155,0.8059,9.388e-05
5,0.10163,0.8841,0.14362,0.8565,0.8376,9.055e-05
6,0.0843,0.8965,0.11645,0.8929,0.8799,8.658e-05
7,0.07684,0.9153,0.12916,0.8884,0.874,8.205e-05
8,0.06921,0.9127,0.10474,0.9043,0.8921,7.702e-05
9,0.06524,0.9222,0.10953,0.8975,0.8867,7.158e-05
10,0.05397,0.934,0.11988,0.8929,0.8961,6.58e-05
11,0.04814,0.9362,0.10285,0.9043,0.9013,5.978e-05
12,0.03801,0.948,0.09341,0.9089,0.9058,5.361e-05
13,0.04323,0.947,0.10211,0.8975,0.8936,4.739e-05
14,0.03641,0.9522,0.10525,0.9043,0.8987,4.122e-05
15,0.03758,0.9474,0.09802,0.9043,0.899,3.52e-05
16,0.03058,0.9567,0.09803,0.9134,0.9095,2.942e-05
17,0.03173,0.9601,0.10327,0.8838,0.8788,2.398e-05
18,0.02933,0.9598,0.10836,0.9089,0.8981,1.895e-05
19,0.02714,0.9598,0.09883,0.9066,0.8983,1.442e-05
20,0.02424,0.9648,0.11211,0.918,0.911,1.045e-05
21,0.02302,0.963,0.10291,0.9043,0.8984,7.12e-06
22,0.02443,0.9644,0.0978,0.9112,0.9005,4.48e-06
23,0.02337,0.9677,0.09875,0.9089,0.9037,2.56e-06
24,0.02187,0.9687,0.09735,0.8998,0.8895,1.39e-06
25,0.02021,0.9698,0.11275,0.9112,0.9033,1e-06
