epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.42053,0.3279,0.28754,0.6343,0.6104,9.961e-05
2,0.29486,0.5558,0.20936,0.6614,0.6243,9.844e-05
3,0.2063,0.6828,0.15945,0.7517,0.7202,9.652e-05
4,0.16177,0.7235,0.13034,0.8172,0.8003,9.388e-05
5,0.1314,0.7646,0.12165,0.781,0.7568,9.055e-05
6,0.11401,0.7836,0.10799,0.8194,0.8012,8.658e-05
7,0.10581,0.7963,0.10389,0.8713,0.859,8.205e-05
8,0.09473,0.818,0.12234,0.8126,0.7921,7.702e-05
9,0.08601,0.8331,0.11212,0.842,0.8254,7.158e-05
10,0.07423,0.8445,0.10825,0.8578,0.8418,6.58e-05
11,0.08469,0.8382,0.10349,0.8781,0.8632,5.978e-05
12,0.07062,0.8505,0.11315,0.86,0.8461,5.361e-05
13,0.06788,0.8584,0.10945,0.8533,0.8406,4.739e-05
14,0.06083,0.871,0.10465,0.8871,0.8745,4.122e-05
15,0.05922,0.8667,0.10143,0.8758,0.8633,3.52e-05
16,0.06326,0.8675,0.11423,0.8691,0.8584,2.942e-05
17,0.05328,0.8754,0.10775,0.8713,0.853,2.398e-05
18,0.04958,0.8857,0.10473,0.8894,0.8789,1.895e-05
19,0.05206,0.8825,0.10856,0.8916,0.8804,1.442e-05
20,0.04535,0.8817,0.10593,0.8849,0.8771,1.045e-05
21,0.04408,0.89,0.10948,0.8849,0.8753,7.12e-06
22,0.0466,0.8908,0.10804,0.8736,0.8643,4.48e-06
23,0.04645,0.8829,0.11096,0.8781,0.8682,2.56e-06
24,0.04117,0.8892,0.10786,0.8849,0.8764,1.39e-06
25,0.04285,0.894,0.10859,0.8826,0.8748,1e-06
