epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.48716,0.385,0.3568,0.5214,0.4713,9.961e-05
2,0.31402,0.6115,0.18367,0.7923,0.7674,9.844e-05
3,0.21837,0.7081,0.14691,0.8172,0.8013,9.652e-05
4,0.17964,0.7754,0.11738,0.8871,0.8763,9.388e-05
5,0.14062,0.807,0.11733,0.8375,0.8244,9.055e-05
6,0.12071,0.8288,0.12817,0.8578,0.8552,8.658e-05
7,0.10546,0.8433,0.10386,0.8781,0.8783,8.205e-05
8,0.09896,0.8455,0.10095,0.8736,0.8654,7.702e-05
9,0.08769,0.8658,0.10802,0.8758,0.8662,7.158e-05
10,0.07564,0.8756,0.1067,0.8713,0.8726,6.58e-05
11,0.06765,0.8863,0.10273,0.8804,0.8639,5.978e-05
12,0.06682,0.8929,0.0964,0.8804,0.8724,5.361e-05
13,0.05998,0.904,0.09862,0.8849,0.8748,4.739e-05
14,0.05438,0.9049,0.09565,0.8939,0.8854,4.122e-05
15,0.04942,0.9141,0.09584,0.9029,0.8954,3.52e-05
16,0.04918,0.91,0.09915,0.9052,0.9033,2.942e-05
17,0.04417,0.9163,0.09787,0.8916,0.8816,2.398e-05
18,0.04446,0.9201,0.104,0.9097,0.907,1.895e-05
19,0.04327,0.9223,0.09409,0.8939,0.8822,1.442e-05
20,0.04528,0.915,0.09181,0.8939,0.8836,1.045e-05
21,0.03887,0.9182,0.09272,0.8894,0.8797,7.12e-06
22,0.04207,0.9223,0.09774,0.8916,0.8825,4.48e-06
23,0.03697,0.9261,0.10134,0.8916,0.8843,2.56e-06
24,0.03728,0.9182,0.10072,0.9029,0.8983,1.39e-06
25,0.03587,0.9223,0.09901,0.8939,0.8847,1e-06
