epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.29556,0.6982,0.30137,0.7585,0.7392,9.961e-05
2,0.11634,0.8815,0.21337,0.8149,0.792,9.844e-05
3,0.07684,0.9223,0.14156,0.8781,0.8644,9.652e-05
4,0.05936,0.9364,0.14907,0.842,0.8284,9.388e-05
5,0.04918,0.9449,0.12943,0.8939,0.8779,9.055e-05
6,0.04409,0.9546,0.12943,0.8758,0.859,8.658e-05
7,0.0387,0.9572,0.11886,0.8916,0.8828,8.205e-05
8,0.03144,0.9644,0.11381,0.9142,0.9037,7.702e-05
9,0.02661,0.9676,0.12001,0.9165,0.8979,7.158e-05
10,0.02533,0.9702,0.11742,0.9097,0.8935,6.58e-05
11,0.02392,0.9727,0.11691,0.912,0.903,5.978e-05
12,0.02106,0.9734,0.14823,0.9097,0.9013,5.361e-05
13,0.02035,0.9756,0.12557,0.9074,0.8968,4.739e-05
14,0.01637,0.9779,0.13261,0.9074,0.8961,4.122e-05
15,0.01494,0.981,0.13427,0.921,0.9122,3.52e-05
16,0.01394,0.9812,0.14051,0.9074,0.8953,2.942e-05
17,0.01224,0.9827,0.13737,0.9142,0.9079,2.398e-05
18,0.01168,0.9839,0.13101,0.9165,0.9081,1.895e-05
19,0.01157,0.9843,0.13175,0.9052,0.8954,1.442e-05
20,0.00883,0.9877,0.13943,0.9097,0.8997,1.045e-05
21,0.00934,0.9872,0.13654,0.9052,0.8941,7.12e-06
22,0.00936,0.9894,0.13724,0.9142,0.9044,4.48e-06
23,0.0086,0.9889,0.13897,0.912,0.9029,2.56e-06
24,0.00818,0.9873,0.13445,0.912,0.9025,1.39e-06
25,0.00833,0.9907,0.1325,0.9233,0.9144,1e-06
