epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.42413,0.341,0.29832,0.535,0.476,9.961e-05
2,0.28438,0.5585,0.19075,0.6998,0.6681,9.844e-05
3,0.20319,0.6748,0.14755,0.7517,0.7164,9.652e-05
4,0.15316,0.7433,0.12103,0.8352,0.8202,9.388e-05
5,0.13242,0.7777,0.11398,0.7946,0.7712,9.055e-05
6,0.10584,0.8058,0.10408,0.8397,0.8218,8.658e-05
7,0.10508,0.8014,0.10275,0.86,0.8382,8.205e-05
8,0.09478,0.8335,0.09502,0.833,0.8159,7.702e-05
9,0.07981,0.8366,0.09431,0.8217,0.7992,7.158e-05
10,0.07277,0.8501,0.09346,0.8623,0.8417,6.58e-05
11,0.08158,0.8564,0.08271,0.8804,0.8648,5.978e-05
12,0.06302,0.8564,0.08443,0.8736,0.8556,5.361e-05
13,0.05869,0.8738,0.08473,0.8578,0.8393,4.739e-05
14,0.05512,0.8797,0.08295,0.8781,0.8562,4.122e-05
15,0.05462,0.8853,0.08703,0.8623,0.8423,3.52e-05
16,0.05437,0.8754,0.08355,0.8736,0.8629,2.942e-05
17,0.04882,0.8797,0.08852,0.8555,0.8335,2.398e-05
18,0.0425,0.8861,0.08366,0.8758,0.8578,1.895e-05
19,0.04072,0.8896,0.08882,0.8826,0.8629,1.442e-05
20,0.03975,0.8881,0.08852,0.8781,0.8597,1.045e-05
21,0.03905,0.8912,0.09006,0.8826,0.8653,7.12e-06
22,0.03774,0.8999,0.0879,0.8668,0.852,4.48e-06
23,0.04293,0.8944,0.0878,0.8804,0.8627,2.56e-06
24,0.03649,0.8975,0.08784,0.8758,0.8586,1.39e-06
25,0.03313,0.9074,0.08681,0.8804,0.8647,1e-06
