epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.44741,0.3294,0.37418,0.3848,0.2727,9.961e-05
2,0.30927,0.5438,0.23432,0.6667,0.6587,9.844e-05
3,0.22971,0.6671,0.15431,0.7696,0.7595,9.652e-05
4,0.18145,0.7122,0.15641,0.7785,0.762,9.388e-05
5,0.14975,0.7626,0.08316,0.8345,0.8247,9.055e-05
6,0.13286,0.7975,0.07957,0.8389,0.8308,8.658e-05
7,0.11342,0.8149,0.06621,0.8702,0.8714,8.205e-05
8,0.11119,0.8304,0.06113,0.8658,0.8581,7.702e-05
9,0.08793,0.8403,0.05662,0.8613,0.8557,7.158e-05
10,0.0885,0.8486,0.06718,0.8322,0.8198,6.58e-05
11,0.08495,0.847,0.05528,0.8702,0.8632,5.978e-05
12,0.07657,0.8589,0.05907,0.8568,0.8483,5.361e-05
13,0.0689,0.8728,0.05432,0.8747,0.8739,4.739e-05
14,0.06867,0.8708,0.05272,0.8837,0.8806,4.122e-05
15,0.06252,0.8696,0.05062,0.877,0.8778,3.52e-05
16,0.06536,0.8827,0.04747,0.8792,0.8745,2.942e-05
17,0.06229,0.8831,0.05012,0.877,0.8705,2.398e-05
18,0.05578,0.8862,0.04943,0.877,0.8733,1.895e-05
19,0.05804,0.8874,0.04896,0.8702,0.8666,1.442e-05
20,0.05905,0.8819,0.04948,0.8814,0.8798,1.045e-05
21,0.048,0.8989,0.04883,0.8814,0.8755,7.12e-06
22,0.05344,0.8969,0.04901,0.8837,0.8836,4.48e-06
23,0.05334,0.8886,0.04816,0.8837,0.8861,2.56e-06
24,0.05268,0.8898,0.04998,0.8971,0.8968,1.39e-06
25,0.05082,0.8973,0.04918,0.8859,0.8881,1e-06
