epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.42343,0.3629,0.31427,0.5011,0.4776,9.961e-05
2,0.26818,0.5868,0.18623,0.6851,0.6655,9.844e-05
3,0.20721,0.6792,0.15831,0.7251,0.7049,9.652e-05
4,0.15713,0.7448,0.16752,0.6896,0.6696,9.388e-05
5,0.13077,0.7809,0.11393,0.7894,0.769,9.055e-05
6,0.1134,0.8072,0.11291,0.8093,0.7948,8.658e-05
7,0.10782,0.8148,0.09037,0.8248,0.8099,8.205e-05
8,0.08886,0.8404,0.08666,0.8426,0.8281,7.702e-05
9,0.08623,0.8436,0.10381,0.8404,0.8197,7.158e-05
10,0.06967,0.8594,0.0934,0.8448,0.8212,6.58e-05
11,0.06534,0.8638,0.09229,0.8625,0.8479,5.978e-05
12,0.06034,0.8809,0.08679,0.8736,0.8569,5.361e-05
13,0.05957,0.8695,0.09955,0.8736,0.8587,4.739e-05
14,0.05462,0.8857,0.07744,0.8714,0.8555,4.122e-05
15,0.04996,0.8923,0.08845,0.8891,0.8781,3.52e-05
16,0.05065,0.8879,0.07212,0.8714,0.8579,2.942e-05
17,0.0451,0.8942,0.07686,0.8736,0.8545,2.398e-05
18,0.04011,0.9018,0.07931,0.8869,0.8755,1.895e-05
19,0.04355,0.9047,0.07006,0.8758,0.8615,1.442e-05
20,0.04122,0.8958,0.07868,0.8736,0.8598,1.045e-05
21,0.04064,0.9126,0.07009,0.8803,0.8618,7.12e-06
22,0.0362,0.9075,0.07216,0.8758,0.8599,4.48e-06
23,0.03734,0.9085,0.07305,0.878,0.8614,2.56e-06
24,0.03695,0.9091,0.07367,0.8869,0.8728,1.39e-06
25,0.03722,0.9085,0.07671,0.8758,0.8607,1e-06
