epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.47968,0.3957,0.32166,0.6067,0.5745,9.961e-05
2,0.3053,0.6267,0.23625,0.6494,0.6258,9.844e-05
3,0.23211,0.7137,0.18291,0.7798,0.7569,9.652e-05
4,0.18096,0.768,0.13247,0.8337,0.8176,9.388e-05
5,0.15875,0.8025,0.14316,0.8135,0.8026,9.055e-05
6,0.13866,0.824,0.11991,0.809,0.7951,8.658e-05
7,0.12032,0.8293,0.11486,0.8517,0.8321,8.205e-05
8,0.10488,0.8556,0.12747,0.8472,0.8211,7.702e-05
9,0.09835,0.8556,0.12176,0.8562,0.8406,7.158e-05
10,0.08634,0.8824,0.10536,0.8674,0.8501,6.58e-05
11,0.08284,0.8676,0.11857,0.8494,0.8304,5.978e-05
12,0.08015,0.8758,0.1176,0.8652,0.8474,5.361e-05
13,0.06399,0.8944,0.10987,0.8652,0.8489,4.739e-05
14,0.06072,0.8929,0.12521,0.8652,0.846,4.122e-05
15,0.05856,0.9023,0.11128,0.8674,0.8534,3.52e-05
16,0.05872,0.9052,0.12242,0.8764,0.8621,2.942e-05
17,0.05258,0.9061,0.13123,0.8562,0.8362,2.398e-05
18,0.04898,0.921,0.12124,0.8764,0.8593,1.895e-05
19,0.05092,0.915,0.1077,0.8742,0.8623,1.442e-05
20,0.04414,0.9223,0.11095,0.8719,0.8565,1.045e-05
21,0.04469,0.9178,0.11486,0.8539,0.8422,7.12e-06
22,0.04301,0.9181,0.11231,0.8831,0.8729,4.48e-06
23,0.04531,0.9143,0.11327,0.8674,0.8557,2.56e-06
24,0.04285,0.9219,0.1118,0.8719,0.8562,1.39e-06
25,0.04209,0.9232,0.11211,0.8742,0.8622,1e-06
