epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
1,0.36642,0.5169,0.28941,0.6185,0.5776,9.961e-05
2,0.22451,0.6893,0.18381,0.7133,0.6919,9.844e-05
3,0.16373,0.7634,0.14252,0.8307,0.8112,9.652e-05
4,0.12708,0.8058,0.12252,0.8239,0.8121,9.388e-05
5,0.09864,0.8383,0.11572,0.86,0.8409,9.055e-05
6,0.08668,0.8557,0.11726,0.8284,0.8193,8.658e-05
7,0.07676,0.8661,0.12284,0.8172,0.8052,8.205e-05
8,0.06765,0.8723,0.1013,0.8442,0.8315,7.702e-05
9,0.05998,0.8846,0.10563,0.8465,0.8285,7.158e-05
10,0.05297,0.897,0.11403,0.8488,0.8313,6.58e-05
11,0.04921,0.9035,0.12252,0.8488,0.8313,5.978e-05
12,0.04358,0.9056,0.12917,0.8555,0.84,5.361e-05
13,0.04086,0.9103,0.12479,0.8736,0.8573,4.739e-05
14,0.03525,0.9212,0.12976,0.8646,0.8547,4.122e-05
15,0.03949,0.9212,0.14045,0.8713,0.8545,3.52e-05
16,0.03406,0.9176,0.13449,0.851,0.8418,2.942e-05
17,0.03137,0.929,0.14645,0.8668,0.8624,2.398e-05
18,0.02939,0.9293,0.13696,0.8736,0.8629,1.895e-05
19,0.02774,0.9256,0.13375,0.8623,0.8486,1.442e-05
20,0.02562,0.9267,0.14262,0.8713,0.8665,1.045e-05
21,0.02457,0.9353,0.1383,0.8691,0.86,7.12e-06
22,0.02449,0.9319,0.1375,0.8894,0.8778,4.48e-06
23,0.02499,0.9389,0.13034,0.8713,0.859,2.56e-06
24,0.02566,0.9332,0.13478,0.8691,0.8569,1.39e-06
25,0.0248,0.9353,0.13661,0.8736,0.8604,1e-06
